reelsVideoHookPromptName,templateVideoHookPromptText,packagedTemplatePromptTextForAI
challengeToOutcome,Here's how [challenge] lead to [outcome]...,"##Here's how [challenge] lead to [outcome]...

"
stopDoing,"Stop doing [mistake], instead do [topic teaching]","##Stop doing [mistake], instead do [topic teaching]

"
messedUp,Today I messed up [topic mistake],"##Today I messed up [topic mistake]

"
somethingCrazy,Something crazy just happened [topic crazy thing],"##Something crazy just happened [topic crazy thing]

"
weirdThing,Is it just me or does [topic weird/new thing],"##Is it just me or does [topic weird/new thing]

"
iBet,I bet you didn't know [topic announcement/weird thing/not well known thing],"##I bet you didn't know [topic announcement/weird thing/not well known thing]

"
ultimateGuide,Here's the ultimate guide to [topic] for [target audience],"##Here's the ultimate guide to [topic] for [target audience]

"
painPoint,"If you [pain point], listen up!","##If you [pain point], listen up!

"
wishIKnew,Things I wish I knew before [pain point],"##Things I wish I knew before [pain point]

"
whyNobody,Why is nobody talking about [topic little known thing].,"##Why is nobody talking about [topic little known thing].

"
painful,There is nothing more painful than [problem topic solves for].,"##There is nothing more painful than [problem topic solves for].

"
controversial,"This might be controversial, but [controversial take about topic].","##This might be controversial, but [controversial take about topic].

"
calledStupid,Somebody called me stupid [something about my take on the topic].,"##Somebody called me stupid [something about my take on the topic].

"
topicAudience,This is [topic] explained for [target audience].,"##This is [topic] explained for [target audience].

"
crazyThing,You won't believe this [crazy thing about topic/weird thing about topic/new thing about topic].,"##You won't believe this [crazy thing about topic/weird thing about topic/new thing about topic].

"
strugglingSolution,"If you're struggling to [solve pain point], then [hook for topic].","##If you're struggling to [solve pain point], then [hook for topic].

"
illegalToKnow,This feels illegal to know [valuable topic thing].,"##This feels illegal to know [valuable topic thing].

"
knewSooner,I wish I knew this sooner [thing about topic].,"##I wish I knew this sooner [thing about topic].

"
mindBlowingTopic,This [topic] will blow your mind.,"##This [topic] will blow your mind.

"
knowAboutTopic,What you need to know about [topic].,"##What you need to know about [topic].

"
regretNotSooner,My biggest regret is not trying this [topic] sooner.,"##My biggest regret is not trying this [topic] sooner.

"
loveActivity,I love going for a [activity].,"##I love going for a [activity].

"
bfOldTopicGone,My BF knew my old [topic] had to go.,"##My BF knew my old [topic] had to go.

"
productAmazement,How can [product name] be this good.,"##How can [product name] be this good.

"
activityLove,Love going for a [activity]?,"##Love going for a [activity]?

"
threeReasonsLove,3 reasons why I love the [product name] And why I just had to buy another!,"##3 reasons why I love the [product name] And why I just had to buy another!

"
cantBelieveWorks,I can't believe these work!,"##I can't believe these work!

"
onlyThingKnow,The only thing you need to know to [action] your [result].,"##The only thing you need to know to [action] your [result].

"
numberOneTopic,The number 1 [topic] for [result].,"##The number 1 [topic] for [result].

"
feelsIllegal,[Topic] that feels illegal to know.,"##[Topic] that feels illegal to know.

"
truthAboutTopic,The truth about [topic] on [platform].,"##The truth about [topic] on [platform].

"
knowTopicSecret,Did you know this [topic] (popular platform) secret?,"##Did you know this [topic] (popular platform) secret?

"
dontWantTopic,Don’t want to [controversial action]?,"##Don’t want to [controversial action]?

"
topMistakes,Top 3 mistakes you are making on/doing [topic].,"##Top 3 mistakes you are making on/doing [topic].

"
unbelievableTopic,[Topic] you won’t believe exist.,"##[Topic] you won’t believe exist.

"
lifeWithoutVsWith,My Life Without [topic] Vs. My Life With [topic].,"##My Life Without [topic] Vs. My Life With [topic].

"
noMoreGatekeeping,"We agreed, right? No more gatekeeping??","##We agreed, right? No more gatekeeping??

"
cantBelieveThis,You Won't Believe What This Is...,"##You Won't Believe What This Is...

"
blownAway,Blown away by [topic]! Here’s why...,"##Blown away by [topic]! Here’s why...

"
neverKnew,Never knew [topic] could be so [quality]!,"##Never knew [topic] could be so [quality]!

"
simpleTricks,Simple tricks to [action] your [result]!,"##Simple tricks to [action] your [result]!

"
instantLove,"The instant I tried [topic], I fell in love!","##The instant I tried [topic], I fell in love!

"
hiddenGems,Hidden gems of [topic] that you need!,"##Hidden gems of [topic] that you need!

"
gameChanger,Game changer: [topic] that revolutionizes [field]!,"##Game changer: [topic] that revolutionizes [field]!

"
saveTime,Save time by doing [topic] this way!,"##Save time by doing [topic] this way!

"
